idx,claim_id,claim,ground_truth,pred_label,total_tokens,prompt_tokens,completion_tokens,total_cost_usd,e2e_latency_sec,triage_latency,retrieval_text_latency,retrieval_visual_latency,factual_verifier_latency,generator_latency,text_retrieval_calls,image_retrieval_calls,hallucination_free,claim_support_consistency
140,111930,"'Nearly 800 million opioid pills were shipped to WV, amounting to 433 pills for every man, woman, and child in the state.",supported,NEI,2224,1472,752,0.006234,14.9973,1.5469,0.0012,,1.7926,7.3546,1,0,0,0
141,110376,An 'anti-Black Lives Matter' flag replaced the American flag behind President Trump during a Waukesha campaign rally.,supported,Supported,2048,1299,749,0.006035,14.5749,1.9878,0.001,,1.8802,6.3484,1,0,0,0
142,101416,'Wisconsin Republicans have not passed a single bill in 6 months.,supported,Supported,1715,1081,634,0.005139,15.7422,1.4224,0.0009,,2.3054,7.5554,1,0,0,1
143,111134,'No state gets back less from Washington than New York state.,supported,NEI,1974,1341,633,0.005112,14.8735,1.4339,0.0009,,1.4807,7.3862,1,0,0,1
144,113079,"'I restored felons' rights - 173,000 - more than any governor in the history of America.",supported,Refuted,1903,1252,651,0.005196,14.0271,1.6233,0.0009,,1.5283,6.4228,1,0,0,0
145,114723,'The federal American Rescue Plan will purchase more food from farmers for distribution.,supported,NEI,3209,2539,670,0.005701,13.2504,1.4513,0.0756,,1.1909,6.5043,1,0,1,1
146,115652,"The latest stimulus package 'sends stimulus checks to imprisoned murderers, rapists, and child molesters.",supported,NEI,2454,1819,635,0.005274,15.2602,1.8324,0.0028,,1.4432,8.0189,1,0,1,1
147,115799,"'It's been over 50 years since minimum (wage) and inflation parted ways, then over a decade since the federal minimum went up at all.",supported,NEI,2954,2313,641,0.005493,16.0661,1.5228,0.0103,,1.4697,8.8763,1,0,1,1
148,112330,"'West Virginia is near last in the U.S.' rankings of education, clean drinking water, and child mortality.",supported,NEI,1995,1305,690,0.005721,14.8509,1.6123,0.0011,,1.9953,7.0329,1,0,1,1
149,103630,"'Homicides are intraracial. When you look at white-on-white crime, it's 84%. Right? Homicides. White people kill white people.",supported,NEI,1974,1293,681,0.00569,15.7682,1.6322,0.0015,,1.5518,8.2458,1,0,1,1
150,119204,Says 'most' NC legislators are in the 'high risk age group' for coronavirus,supported,NEI,1882,1229,653,0.005349,12.5092,1.3082,0.0009,,1.4585,5.545,1,0,1,1
151,106563,"A Marine painted his house red, white and blue after he 'was told by his neighbors that he could not fly the American flag in his yard all year long.",refuted,Refuted,1918,1237,681,0.005743,12.8723,1.2461,0.0012,,1.6851,5.5632,1,0,1,1
152,116053,'Walmart has just pledged $100 million to Black Lives Matter.,refuted,Refuted,1511,988,523,0.004318,11.1512,1.5172,0.0007,,1.2102,4.5064,1,0,1,1
153,100186,"A second impeachment means Donald Trump loses his lifetime pension, travel allowance, Secret Service detail, and his ability to run for public office.",refuted,NEI,3535,2849,686,0.005779,14.8266,1.4723,0.0173,,1.9723,6.5468,1,0,1,1
154,109728,A screenshot shows Tucker Carlson announcing he'll 'be starting at NewsMax next month.,refuted,NEI,1656,1101,555,0.004681,10.6963,1.4009,0.0008,,1.2718,4.5866,1,0,1,1
155,117769,"Says Emmanuel Macron said, 'I no longer have any intention of sacrificing my life, my time, my freedom and the adolescence of my daughters, as well as their right to study properly, for those who refuse to be vaccinated.",refuted,NEI,2079,1398,681,0.005903,11.0618,1.3557,0.0017,,1.2231,4.6674,1,0,1,1
156,107093,Says Kayleigh McEnany is John F. Kennedy Jr.'s daughter.,refuted,Refuted,1804,1009,795,0.006828,18.0479,7.1552,0.0006,,1.7005,5.4344,1,0,1,1
157,117996,Says North Carolina's 'Democratic Secretary of State' controls the state's elections.,refuted,Refuted,1906,1243,663,0.005411,11.0648,1.1999,0.0009,,1.1469,4.6336,1,0,1,1
158,104160,'They're furloughing nurses in hospitals in western New York state.,refuted,Refuted,1638,1058,580,0.00468,11.6217,1.6676,0.0007,,1.5572,4.1449,1,0,1,1
159,110720,'Replacing marriage licenses with domestic union contracts does not alter state or federal benefits.,refuted,NEI,1820,1129,691,0.00582,14.7459,1.4361,0.0008,,1.6376,6.7153,1,0,1,1
160,119995,Says Deputy Comptroller Aycha Sawa 'blocked an audit' of the Milwaukee lead program for three years that 'put our children in danger' and spurred a criminal investigation.,refuted,NEI,3627,2948,679,0.005756,12.5449,1.3042,0.0113,,1.6326,5.6768,1,0,0,0
161,107840,Photo shows Bill Clinton among others not wearing a mask at John Lewis' funeral.,refuted,Refuted,1474,945,529,0.004271,10.7914,1.6282,0.0007,,1.2426,3.8569,1,0,1,1
162,106255,"CNN reported, 'Due to COVID-19, President Donald Trump passes away at 74.",refuted,Refuted,1515,999,516,0.004266,9.6692,1.2907,0.0007,,1.0679,2.9982,1,0,1,1
163,113082,"No new COVID-19 cases in Uttar Pradesh, India, due to use of ivermectin",refuted,NEI,1925,1215,710,0.005877,12.375,1.8096,0.0008,,1.4822,5.1415,1,0,1,1
164,106716,Says the surge in COVID-19 cases is caused by 'antibody mediated viral enhancement' from the COVID-19 vaccines.,refuted,NEI,1884,1238,646,0.005177,13.4106,1.9803,0.0009,,1.801,5.0637,1,0,1,1
165,119015,"'Antifa now banging on residents' doors in Seattle, demanding food & supplies. If they don't get it, the house gets vandalized.",refuted,Refuted,1737,1189,548,0.0043,12.3176,1.7676,0.001,,1.8613,4.1311,1,0,1,1
166,118792,Video shows Joe Biden stuttering after being asked about touching women 'without their permission' on The View.,refuted,NEI,1756,1116,640,0.005092,12.871,1.3816,0.0008,,2.1997,4.7531,1,0,1,1
167,100049,Says wearing masks has been 'proven ineffective.,refuted,NEI,3434,2795,639,0.005402,12.2426,1.4241,0.021,,1.475,4.89,1,0,1,1
168,111570,'The American military has been completely rebuilt under my administration at a cost of $2.5 trillion.,refuted,NEI,2564,1919,645,0.005408,12.4024,1.3874,0.0018,,1.4829,4.5413,1,0,0,1
169,117112,An image shows the Blue Angels performing a maneuver called the 'Hand of God.,refuted,NEI,1457,944,513,0.004045,10.5509,1.4704,0.0007,,1.4193,3.2964,1,0,1,1
170,101039,"'500 National Guardsmen being called to Kenosha ahead of the Rittenhouse verdict. Had they done this in the first place, there wouldn't have been a trial.",refuted,NEI,1769,1091,678,0.005602,13.4751,1.3726,0.0011,,1.8367,5.5774,1,0,1,1
171,104322,Doctors and nurses who administer the coronavirus vaccine can be 'tried as war criminals.,refuted,NEI,1640,1068,572,0.004813,11.2052,1.8608,0.0008,,1.4014,4.4083,1,0,1,1
172,112700,Says Joe Biden has 'allowed males to compete in girls' sports.,refuted,NEI,1728,1122,606,0.004901,11.3397,1.5064,0.0008,,1.2625,4.8649,1,0,1,1
173,111177,Transmission of COVID-19 by asymptomatic individuals 'has never been proven.,refuted,NEI,1518,1029,489,0.00397,10.9719,1.366,0.0007,,1.1909,4.3964,1,0,1,1
174,109036,"Federal agents directly incited people on Jan. 6, 2021, and 'intentionally entrapped' American citizens.",refuted,NEI,3072,2369,703,0.00587,12.3165,1.5174,0.0029,,1.5828,4.9202,1,0,1,1
175,102666,"The result of lockdowns 'has been the destruction of millions of lives across America as well as increased deaths from suicide, substance abuse and despair without any corresponding benefit in Covid mortality.",refuted,NEI,3584,2873,711,0.005908,13.8369,1.8732,0.0125,,2.2295,4.4987,1,0,1,0
176,109207,China recovered from COVID-19 'without a vaccine.,refuted,Refuted,1745,1097,648,0.005242,17.7088,1.7472,0.0007,,1.5245,9.3938,1,0,1,1
177,103298,"'There was no real scientific basis for believing that' social distancing would be necessary, 'since it had never been studied.",refuted,NEI,1764,1161,603,0.005067,11.6407,1.3479,0.0014,,1.3246,4.4765,1,0,1,1
178,103482,"'This 'infrastructure bill' on page 2,385 presents a federal property tax of 3 percent on all homes and land - both residential and commercial.",refuted,NEI,1760,1213,547,0.004564,10.7951,1.8566,0.0011,,1.6552,4.005,1,0,1,1
179,116837,'MSNBC actually said on air 'I hope enough people die from coronavirus that it harms Trump's re-election.,refuted,NEI,1595,1017,578,0.004786,13.5962,1.7042,0.0008,,1.6015,6.3694,1,0,1,1
180,103054,Video shows man upset because he was added to the no-fly list for storming the Capitol.,refuted,Refuted,1807,1221,586,0.004523,11.2566,1.762,0.0009,,1.694,3.6219,1,0,1,1
181,118797,'Pfizer vaccine kills more people than it saves.,refuted,NEI,1843,1197,646,0.005399,13.5207,1.7753,0.0007,,1.1357,6.5194,1,0,1,1
182,104803,'Instagram has been limiting our posts so that no more than 7% of our friends see our posts.,refuted,NEI,1600,1024,576,0.004849,18.9321,1.588,0.0009,,1.5082,4.7239,1,0,1,1
183,105032,'WHO now says your child's presence in school counts as 'informed consent' for vaccination - parental presence not required.,refuted,NEI,1690,1140,550,0.004562,12.1651,1.6921,0.001,,1.2546,4.9821,1,0,1,1
184,116636,"Says William Barr tweeted, 'BREAKING NEWS Senator Mitt Romney is the only Republican Senator who voted to remove President Trump from office... IN A COMPLETELY UNRELATED STORY Senator Mitt Romney is also the only Republican Senator who has a son who sits on the board of a Ukrainian Energy Company.",refuted,NEI,1959,1278,681,0.005676,18.745,3.9662,0.0016,,1.7397,6.3155,1,0,1,1
185,106841,Says Joe Biden 'will redirect the $30 billion' that Donald Trump 'left for U.S. farmers to 'climate change.,refuted,Refuted,1876,1220,656,0.005246,13.4355,1.4378,0.001,,1.5887,5.4528,1,0,1,1
186,109773,The COVID-19 vaccine 'will make the common cold/flu extremely lethal.,refuted,NEI,1533,1010,523,0.004312,10.1097,1.4695,0.0007,,1.1894,3.1461,1,0,1,1
187,118687,A photo shows Air Force One at the 2020 Daytona 500.,refuted,Refuted,1632,986,646,0.005306,13.2341,1.6416,0.0007,,1.139,5.2152,1,0,1,1
188,114752,National Guard members turned their backs on Biden's motorcade on Inauguration Day.,refuted,NEI,2603,2014,589,0.004862,11.9396,1.5162,0.0021,,1.4632,3.9424,1,0,1,1
189,108277,"'In Italy, they have thrown their money on the streets. A clear message to the whole world that money is not enough when health is in danger.",refuted,NEI,1895,1255,640,0.005178,17.7166,1.8087,0.0012,,1.9868,8.9556,1,0,1,1
190,107880,"In the United Kingdom, '70-plus percent of the people who die now from COVID are fully vaccinated.",refuted,NEI,1969,1275,694,0.005674,15.2189,1.6098,0.0009,,2.0406,6.3542,1,0,1,0
191,111220,"'In March 2020 the United States deployed 30,000 troops to Europe to ... free child-trafficked children and arrest deep state cabal members.",refuted,Refuted,1915,1253,662,0.005379,13.0884,2.1016,0.0014,,1.8193,4.0578,1,0,1,1
192,114074,Says as president he has 'total' authority to re-open states amid the COVID-19 pandemic.,refuted,NEI,3462,2819,643,0.005464,14.2201,1.775,0.0354,,1.5882,5.6287,1,0,0,0
193,119717,"A patch on law enforcement officers in Portland is for 'ZTI solutions, a PRIVATE contractor.",refuted,NEI,2011,1215,796,0.006742,13.7428,1.6092,0.001,,1.6147,5.5367,1,0,1,1
194,115379,"'Covid-does NOT exist AS A VIRUS,' and Russian doctors performing autopsies on deceased COVID-19 patients violate a World Health Organization law",refuted,NEI,1999,1358,641,0.005237,13.7953,1.7743,0.001,,2.0275,4.6892,1,0,1,1
195,118247,Says Sens. Joe Manchin and Kyrsten Sinema 'are Republicans ... Just look at the way they vote.,refuted,NEI,1674,1109,565,0.004719,16.0797,1.6169,0.0009,,1.555,8.6671,1,0,0,1
196,115954,"The Biden administration 'halted deportations for all illegal aliens - murderers, rapists, terrorists, MS-13 gang members are not being deported.",refuted,Refuted,1678,1125,553,0.004519,11.5965,1.5324,0.0009,,1.608,3.8062,1,0,1,1
197,104576,"Says Joe Biden proposed 'killing over 600,000 jobs supported by fracking.",refuted,NEI,2067,1394,673,0.005461,15.5036,1.4705,0.0009,,2.0646,6.3932,1,0,1,1
198,109384,'Italy has decided not to treat their elderly for this virus.,refuted,Refuted,1616,1048,568,0.004683,12.356,1.7621,0.0007,,1.6064,4.2574,1,0,1,1
199,108589,"Says Joe Biden plans to 'mandate net-zero carbon emissions for homes, offices and all new buildings by 2030. That basically means no windows, no nothing.",refuted,NEI,1921,1143,778,0.006612,15.5976,1.8553,0.001,,1.6664,5.5548,1,0,1,1
200,102948,229 Christian missionaries were sentenced to death in Afghanistan.,refuted,Refuted,1418,893,525,0.004416,14.7373,1.7417,0.0007,,1.7678,7.1104,1,0,1,1
201,112143,'The Vice President has the power to reject fraudulently chosen electors.,refuted,NEI,1646,1066,580,0.004768,14.9908,4.2252,0.0007,,1.8843,4.548,1,0,1,1
202,101089,Says 86% of COVID-19 cases in Israel in July were in fully vaccinated individuals.,refuted,NEI,1752,1148,604,0.004779,13.4805,2.1817,0.0008,,2.4529,4.3359,1,0,1,0
203,108853,Says Merrick Garland is investigating Donald Trump's 'tax evasion case.,refuted,NEI,1877,1313,564,0.004669,12.1925,2.1014,0.0009,,1.7817,4.5247,1,0,1,1
204,108430,Says Officer Derek Chauvin's knee was 'not on neck of George Floyd.,refuted,NEI,1890,1271,619,0.005093,12.9103,1.5889,0.0008,,1.712,4.5628,1,0,1,1
205,100516,'DMX received COVID vaccine days before heart attack.,refuted,NEI,2529,1906,623,0.005057,13.996,1.907,0.0168,,2.3209,5.5163,1,0,1,1
206,103091,President Donald Trump 'can't say anything (about the U.S. Capitol riot) because the platforms have removed him.,refuted,NEI,2296,1705,591,0.004967,12.6421,2.3781,0.0017,,1.8379,3.9703,1,0,1,1
207,102699,A photo caption says vendors named 'Nah' and 'Stop asking me questions before you get your a-- kicked' sold Trump-themed merchandise to 'stupid' people outside the U.S. Capitol on Jan. 6.,refuted,NEI,2551,1910,641,0.005303,14.1267,2.7725,0.0031,,2.2844,4.3055,1,0,1,1
208,108784,"Says Donald Trump tweeted, 'I have it on good authority that the real reason for the delayed results from the #IowaCaucus is they are trying to hide the fact that the winner was @VerminSupreme.",refuted,Refuted,1576,1041,535,0.004543,11.8555,1.8248,0.0012,,1.3738,4.2414,1,0,1,1
209,103005,"'The NFL agreed to give the domestic terror group, BLM, 250 million dollars.",refuted,NEI,1613,1026,587,0.004807,13.3322,2.0344,0.0007,,2.1058,4.569,1,0,1,1
210,101554,Says Anthony Fauci 'is married to Ghislaine Maxwell's sister.,refuted,Refuted,1430,938,492,0.004013,12.5458,1.8657,0.0006,,2.0811,4.1901,1,0,1,1
211,111875,Says Wisconsin Gov. Tony Evers 'wants to force residents to fund Planned Parenthood abortion business.,refuted,NEI,1831,1185,646,0.005244,18.0386,2.1066,0.0009,,4.4997,5.7586,1,0,1,1
212,118294,'Oklahoma 100% coronavirus test rate after Trump Tulsa rally.,refuted,Refuted,1879,1288,591,0.004627,13.501,1.9985,0.0009,,1.8505,4.7218,1,0,0,1
213,109018,'Joe Biden's attorney general wants the FBI to go after parents for speaking out at school board meetings to protect kids from radical curriculum like critical race theory.,refuted,NEI,1914,1278,636,0.005313,16.6257,1.591,0.0013,,1.694,8.7512,1,0,0,0
214,110245,"'Biden's plan will immediately let in 25,000 asylum-seekers who'd been waiting in Mexico as their cases were judged.",refuted,NEI,1996,1383,613,0.004833,19.2103,1.899,0.0011,,2.1031,9.9208,1,0,0,0
215,119141,"'At the Democratic convention, the Pledge of Allegiance was read with the words 'under God' removed.",refuted,NEI,1908,1223,685,0.005405,16.6437,4.6364,0.0009,,2.1609,4.4554,1,0,1,1
